id,title,start_date,end_date,statistics
33939,Kyoto Gakuen Daigaku,2014-07-18,2015-11-19,"{'status': {'watching': '23', 'completed': '185', 'on_hold': '8', 'dropped': '35', 'plan_to_watch': '122'}, 'num_list_users': 373}"
33940,Best Care Group,2012-09-12,2014-09-19,"{'status': {'watching': '16', 'completed': '211', 'on_hold': '1', 'dropped': '45', 'plan_to_watch': '83'}, 'num_list_users': 356}"
33941,Towel Story,2011-08-24,2013-06-03,"{'status': {'watching': '29', 'completed': '363', 'on_hold': '4', 'dropped': '42', 'plan_to_watch': '107'}, 'num_list_users': 545}"
33945,Taka no Tsume x Megane Super,2016-06-30,2016-11-22,"{'status': {'watching': '19', 'completed': '154', 'on_hold': '7', 'dropped': '52', 'plan_to_watch': '88'}, 'num_list_users': 320}"
33946,Mikan Seijin Arawaru,2016-08-26,2017-09-29,"{'status': {'watching': '41', 'completed': '86', 'on_hold': '18', 'dropped': '145', 'plan_to_watch': '160'}, 'num_list_users': 450}"
33948,Hinako Note,2017-04-07,2017-06-23,"{'status': {'watching': '8695', 'completed': '40316', 'on_hold': '4391', 'dropped': '7757', 'plan_to_watch': '45546'}, 'num_list_users': 106705}"
33949,Oshiete! Galko-chan: Natsuyasumi tte Hontou desu ka?,2017-01-23,2017-01-23,"{'status': {'watching': '978', 'completed': '20892', 'on_hold': '306', 'dropped': '166', 'plan_to_watch': '8025'}, 'num_list_users': 30367}"
33950,Black Clover: Jump Festa 2016 Special,2016-11-27,2016-11-27,"{'status': {'watching': '1567', 'completed': '30839', 'on_hold': '453', 'dropped': '595', 'plan_to_watch': '9685'}, 'num_list_users': 43139}"
33957,Danball Senki Wars: All Star Battle,2014-02-27,2014-02-27,"{'status': {'watching': '49', 'completed': '521', 'on_hold': '31', 'dropped': '92', 'plan_to_watch': '315'}, 'num_list_users': 1008}"
33958,Robber's Company,2016-06-30,2017-08-02,"{'status': {'watching': '27', 'completed': '199', 'on_hold': '7', 'dropped': '49', 'plan_to_watch': '164'}, 'num_list_users': 446}"
33962,Shoujo-tachi no Sadism The Animation,2016-09-02,2016-12-02,"{'status': {'watching': '1175', 'completed': '8052', 'on_hold': '546', 'dropped': '424', 'plan_to_watch': '2441'}, 'num_list_users': 12638}"
33964,91 Days: Mijikai Rousoku,2016-08-26,2016-08-26,"{'status': {'watching': '536', 'completed': '26980', 'on_hold': '272', 'dropped': '383', 'plan_to_watch': '6395'}, 'num_list_users': 34566}"
33966,Yume Oukoku to Nemureru 100-nin no Oujisama,2018-07-05,2018-09-20,"{'status': {'watching': '1735', 'completed': '6063', 'on_hold': '749', 'dropped': '2260', 'plan_to_watch': '8348'}, 'num_list_users': 19155}"
33969,Shuangsheng Lingtan,2016-08-25,2017-01-05,"{'status': {'watching': '1285', 'completed': '3543', 'on_hold': '555', 'dropped': '575', 'plan_to_watch': '8310'}, 'num_list_users': 14268}"
33970,Girls & Panzer: Saishuushou Part 1,2017-12-09,2017-12-09,"{'status': {'watching': '2485', 'completed': '30502', 'on_hold': '712', 'dropped': '373', 'plan_to_watch': '14903'}, 'num_list_users': 48975}"
33972,Cyphers,2011-06-08,2016-05-14,"{'status': {'watching': '307', 'completed': '533', 'on_hold': '54', 'dropped': '85', 'plan_to_watch': '1931'}, 'num_list_users': 2910}"
33975,3-nen D-gumi Glass no Kamen,2016-10-03,2016-12-26,"{'status': {'watching': '137', 'completed': '1260', 'on_hold': '62', 'dropped': '418', 'plan_to_watch': '696'}, 'num_list_users': 2573}"
33978,0-sen Hayato Pilot,1985,1985,"{'status': {'watching': '20', 'completed': '207', 'on_hold': '11', 'dropped': '86', 'plan_to_watch': '137'}, 'num_list_users': 461}"
33979,Kowaremono: Risa Plus The Animation,2016-10-07,2016-10-07,"{'status': {'watching': '711', 'completed': '6515', 'on_hold': '354', 'dropped': '329', 'plan_to_watch': '1884'}, 'num_list_users': 9793}"
33980,Mirai ni Mukete: Bousai wo Kangaeru,2016-09-07,2016-09-07,"{'status': {'watching': '31', 'completed': '75', 'on_hold': '6', 'dropped': '69', 'plan_to_watch': '174'}, 'num_list_users': 355}"
33981,Pretty x Cation 2 The Animation,2016-11-25,2017-01-27,"{'status': {'watching': '859', 'completed': '4651', 'on_hold': '456', 'dropped': '306', 'plan_to_watch': '2400'}, 'num_list_users': 8672}"
33982,Ishiyama-dera Digital Engi Emaki,2016-09-09,2016-09-09,"{'status': {'watching': '15', 'completed': '86', 'on_hold': '2', 'dropped': '42', 'plan_to_watch': '107'}, 'num_list_users': 252}"
33983,Onihei,2017-01-10,2017-04-04,"{'status': {'watching': '3292', 'completed': '16385', 'on_hold': '1860', 'dropped': '3246', 'plan_to_watch': '15690'}, 'num_list_users': 40473}"
33985,Bloodivores,2016-10-01,2016-12-17,"{'status': {'watching': '9653', 'completed': '50625', 'on_hold': '4205', 'dropped': '16291', 'plan_to_watch': '28693'}, 'num_list_users': 109467}"
